dpmp,lat,lon,kmeans,som,agglomerative,dbscan
8832,10.8993966,-74.98631013631203,4,3,2,0
8849,10.7423787,-74.9778586,4,3,2,0
13006,8.602830449999999,-74.4586880450204,4,3,2,0
13042,8.4593685,-73.9429805,4,3,2,0
13052,10.2534632,-75.3427213,4,3,2,0
13062,10.24402435,-75.0283270068316,4,3,2,0
13140,10.2526122,-74.9146691,4,3,2,0
13160,7.3780007,-73.9150265,0,0,0,0
13188,9.2778539,-74.643809,4,3,2,0
13212,9.5868727,-74.8270428,4,3,2,0
13222,10.56180475,-75.3295539371322,4,3,2,0
13248,10.0312607,-74.9754413,4,3,2,0
13430,9.2412097,-74.7567413,4,3,2,0
13433,10.234262,-75.186894,4,3,2,0
13440,9.0574428,-74.22089490793826,4,3,2,0
13458,7.93057835,-74.40743965367216,4,3,0,0
13468,9.2426345,-74.4262293,4,3,2,0
13473,8.2763913,-73.8680272,4,3,2,0
13490,8.5419674,-74.0251545,4,3,2,0
13549,8.86475765,-74.40505554778633,4,3,2,0
13580,8.6650933,-73.8224537,4,3,2,0
13600,8.431423599999999,-73.78624036486244,4,3,2,0
13647,10.3992064,-75.1506023,4,3,2,0
13650,9.1078595,-74.37981056379536,4,3,2,0
13657,9.9254725,-75.0117976,4,3,2,0
13673,10.6523887,-75.2698898239459,4,3,2,0
13683,8.879608,-74.3643006,4,3,2,0
13744,7.9551827,-73.9449234,4,3,0,0
13760,10.3894704,-75.1369206,4,3,2,0
13780,9.3032374,-74.5654949,4,3,2,0
13810,8.5560603,-74.2631684,4,3,2,0
13836,10.3305871,-75.4127345,4,3,2,0
13838,10.233116,-75.448718562246,4,3,2,0
13873,10.4444032,-75.2730468,4,3,2,0
15001,5.5324313,-73.3616014,0,1,0,0
15022,4.971164,-73.3788228,3,1,0,0
15047,5.5175808,-72.88315,0,1,0,0
15051,5.75520695,-73.45137111659105,0,1,0,0
15090,5.2296018,-73.1262569496972,3,1,0,0
15092,5.92236905,-72.85902530278791,0,1,0,0
15097,6.33216125,-72.60951009870689,0,0,0,0
15104,5.4428193,-73.37452239255038,0,1,0,0
15106,5.6620095,-73.92082136747689,3,1,0,0
15109,5.661839,-73.6065757,0,1,0,0
15114,5.8507677000000005,-72.87440382813446,0,1,0,0
15131,5.57514545,-73.8829940342499,3,1,0,0
15135,4.998398699999999,-73.12033660522744,3,1,0,0
15162,5.97102995,-72.96814752050724,0,1,0,0
15172,5.2062439000000005,-73.33495822266192,3,1,0,0
15176,5.6182733,-73.8167476,3,1,0,0
15180,6.6767804,-72.40674385862157,0,0,0,0
15183,6.06537305,-72.43155745155386,0,0,0,0
15185,6.0279763,-73.4469335,0,1,0,0
15187,5.5803634,-73.24866201833882,0,1,0,0
15204,5.69161685,-73.30914700739038,0,1,0,0
15212,5.4467242,-74.03515722066024,3,1,0,0
15215,5.82400485,-72.83969508169977,0,1,0,0
15218,6.511988049999999,-72.73190454278291,0,0,0,0
15223,7.0020076,-72.1089218,0,0,0,0
15224,5.52521765,-73.44812666655619,0,1,0,0
15226,5.587281150000001,-72.95008542233742,0,1,0,0
15232,5.6053336,-73.4849171,0,1,0,0
15236,4.860095100000001,-73.35435288983632,3,1,0,0
15238,5.8277055,-73.0338939,0,1,0,0
15244,6.35469355,-72.4156710542612,0,0,0,0
15248,6.4825581,-72.4952026,0,0,0,0
15272,5.669188,-72.9933907,0,1,0,0
15276,5.862837150000001,-72.9300059966024,0,1,0,0
15293,5.7422941000000005,-73.53603985241656,0,1,0,0
15296,5.8019513,-72.8049747,0,1,0,0
15299,5.0822246,-73.3643092,3,1,0,0
15317,6.443237099999999,-72.51624238245242,0,0,0,0
15322,5.0226102,-73.49199017070515,3,1,0,0
15325,4.937329,-73.49967354962982,3,1,0,0
15332,6.4616779,-72.4119937,0,0,0,0
15362,5.61966755,-72.96139284084254,0,1,0,0
15367,5.3728385,-73.38852474734892,3,1,0,0
15368,6.13734945,-72.5818887747854,0,0,0,0
15377,5.54539925,-72.5974873013792,0,1,0,0
15380,5.1111878,-73.45666528085088,3,1,0,0
15401,5.5152589,-74.23548917208618,3,1,0,0
15425,4.98185045,-73.28546066152629,3,1,0,0
15442,5.5495156,-74.0046921,3,1,0,0
15455,5.1514125,-73.17051515322876,3,1,0,0
15464,5.69745905,-72.68591886709874,0,1,0,0
15466,5.6981559,-72.83192673587394,0,1,0,0
15469,5.8763096,-73.5732077,0,1,0,0
15480,5.5321291,-74.1027796,3,1,0,0
15491,5.7705609,-72.9397458,0,1,0,0
15494,5.3528931,-73.44768916765554,3,1,0,0
15500,5.6170796,-73.27484921284284,0,1,0,0
15507,5.6599976,-74.1816643,3,1,0,0
15511,5.14969005,-73.40449162873,3,1,0,0
15514,5.0943443,-72.98790672151398,3,1,0,0
15516,5.7812701,-73.1176532,0,1,0,0
15518,5.37354545,-72.67528897729841,0,1,0,0
15522,6.4426674,-72.4590342,0,0,0,0
15531,5.69296165,-73.99311972509602,3,1,0,0
15533,5.65292525,-72.37592148995437,0,1,0,0
15542,5.5582793,-73.0514809,0,1,0,0
15550,5.73589315,-72.43887654156455,0,1,0,0
15572,5.9756376,-74.5882837,2,4,1,0
15580,5.52297,-74.1812499,3,1,0,0
15599,5.3291259,-73.30420599813321,3,1,0,0
15600,5.4969333,-73.6252565720087,3,1,0,0
15621,5.3607436,-73.19729006157985,0,1,0,0
15632,5.6975265,-73.7656779,0,1,0,0
15638,5.57776855,-73.53993302727949,0,1,0,0
15646,5.4917892,-73.48529,0,1,0,0
15660,5.2370004,-73.05266459503862,0,1,0,0
15673,6.41672195,-72.57682123606187,0,0,0,0
15686,6.055599150000001,-73.48209236741033,0,1,0,0
15690,4.82084225,-73.2718839001036,3,1,0,0
15696,5.7333558,-73.60500527932183,0,1,0,0
15720,6.1259742,-72.7446892606064,0,0,0,0
15723,6.0625729,-72.68607204851938,0,0,0,0
15740,5.4879559,-73.211985110575,0,1,0,0
15753,6.3218894,-72.70097148679578,0,0,0,0
15755,6.0412437,-72.6365858,0,0,0,0
15757,5.997488,-72.6911515,0,1,0,0
15759,5.7148307,-72.9279328,0,1,0,0
15761,4.96186165,-73.43335563105981,3,1,0,0
15762,5.5840044,-73.43839890264834,0,1,0,0
15763,5.78568085,-73.25921165504153,0,1,0,0
15764,5.4814276,-73.32177716265338,0,1,0,0
15774,6.23229415,-72.69185715516117,0,0,0,0
15776,5.637484049999999,-73.62751681530906,0,1,0,0
15778,5.02438415,-73.42675385147206,3,1,0,0
15790,5.89835385,-72.7578745073439,0,1,0,0
15798,5.076382150000001,-73.41736086183475,3,1,0,0
15804,5.31086645,-73.39118303864569,3,1,0,0
15808,5.572943,-73.67092178191179,3,1,0,0
15810,6.4279842,-72.70010777857352,0,0,0,0
15814,5.5771231,-73.16845002049493,0,1,0,0
15820,5.76645735,-72.8403633596765,0,1,0,0
15822,5.4766073,-73.01337605028996,0,1,0,0
15835,5.3240877,-73.4905833,3,1,0,0
15839,6.073991299999999,-72.86241934189341,0,1,0,0
15842,5.22123,-73.457038,3,1,0,0
15861,5.3666155,-73.5216361,3,1,0,0
15879,5.44749285,-73.26671745179924,0,1,0,0
15897,5.2821538,-73.16696532729358,0,1,0,0
17001,5.0743694,-75.50811667440546,2,4,1,0
17013,5.613113,-75.4575902,2,4,1,0
17042,5.2337519,-75.7856623,2,4,1,0
17050,5.2711368,-75.4904079,2,4,1,0
17088,4.994718,-75.8122627,2,4,1,0
17174,4.9830232,-75.6054129,2,4,1,0
17272,5.2963713,-75.5622217,2,4,1,0
17380,5.53303205,-74.67829275560659,3,4,5,0
17388,5.3989301,-75.54777,2,4,1,0
17433,5.253198,-75.1544544,2,4,5,0
17442,5.4746415,-75.5988438,2,4,1,0
17446,5.2841316,-75.2595401,2,4,5,0
17486,5.1917458,-75.5195161896838,2,4,1,0
17495,5.5758643,-74.8881645,2,4,5,0
17513,5.5272323,-75.4594449,2,4,1,0
17524,5.0203683,-75.6223394,2,4,1,0
17541,5.3833488,-75.1609683,2,4,5,0
17614,5.4209549,-75.7030623,2,4,1,0
17616,5.1635531,-75.7673963,2,4,1,0
17653,5.4079215,-75.4880202,2,4,1,0
17662,5.4127804,-74.992031,2,4,5,0
17665,5.0808725,-75.7918992,2,4,1,0
17777,5.4533321,-75.651965,2,4,1,0
17867,5.3167944,-74.9120079,2,4,5,0
17873,5.0449697,-75.5151258,2,4,1,0
17877,5.0618565,-75.8734996,2,4,1,0
18001,1.6158666,-75.6143045,1,5,3,0
18029,1.2315264,-75.89204331320687,1,5,3,0
18205,1.0326931,-75.9193814,1,5,3,0
18247,1.6815919,-75.2844565,1,5,3,0
18256,1.77363045,-75.37435787949454,1,5,3,0
18479,1.4874697,-75.724859,1,5,3,0
18592,1.909392,-75.1530969,1,5,3,0
18756,0.2407577,-72.52169776875364,5,2,4,-1
18785,0.8767264,-75.6190438,1,5,3,0
18860,1.1961248,-75.7059684,1,5,3,0
19001,2.4422295,-76.6072368,1,5,3,0
19022,1.9142744,-76.8548514,1,5,3,0
19050,2.2568076,-77.2494094,1,5,3,0
19075,2.042096,-77.2157842,1,5,3,0
19100,1.87332785,-76.99193235090075,1,5,3,0
19110,3.0165467,-76.6406849,1,5,3,0
19130,2.6231693,-76.5693504,1,5,3,0
19137,2.796326,-76.4836526,1,5,3,0
19142,3.0336985,-76.4085199,1,5,3,0
19212,3.14393065,-76.20024889711436,1,5,3,0
19256,2.4511923,-76.8117409,1,5,3,0
19290,1.6830289,-77.0726877,1,5,3,0
19300,3.1323331,-76.3916018,1,5,3,0
19318,2.5708069,-77.882619,1,5,3,0
19355,2.5500211,-76.0643978,1,5,3,0
19364,2.7776822,-76.3243788,1,5,3,0
19392,2.1763552,-76.7634852,1,5,3,0
19397,2.05257275,-76.77593835691735,1,5,3,0
19418,2.847624,-77.247802,1,5,3,0
19450,1.7984873,-77.1610748,1,5,3,0
19455,3.2511475,-76.2291572,1,5,3,0
19473,2.8438981,-76.84888196874124,1,5,3,0
19513,3.2254364,-76.3139739,1,5,3,0
19532,2.07501,-77.0616762,1,5,3,0
19533,1.1185119,-76.3265519,1,5,3,0
19548,2.6404294,-76.5325746,1,5,3,0
19573,3.2288972,-76.4192267,1,5,3,0
19585,2.3811038,-76.4551183,1,5,3,0
19622,2.2621018,-76.7392875,1,5,3,0
19701,2.9800188,-76.4342363954404,1,5,3,0
19743,2.6115436,-76.378424,1,5,3,0
19760,2.2217752,-76.6285316,1,5,3,0
19780,2.9543543,-76.6948801,1,5,3,0
19785,2.0382339,-76.9249937,1,5,3,0
19807,2.352893,-76.6838869,1,5,3,0
19809,2.660892,-77.42770536413153,1,5,3,0
19821,2.9554697,-76.2686889,1,5,3,0
19824,2.5109533,-76.4011501,1,5,3,0
19845,3.1819317,-76.46022266463663,1,5,3,0
20001,10.4651733,-73.2529512,4,3,2,0
20011,8.309416,-73.603699,4,3,2,0
20013,10.0374894,-73.2387011,4,3,2,0
20032,9.4962322,-73.9756293,4,3,2,0
20045,9.75308145,-73.24380167238729,4,3,2,0
20060,9.9730446,-73.8860998,4,3,2,0
20175,9.2576662,-73.8126883,4,3,2,0
20178,9.3636401,-73.6016974,4,3,2,0
20228,9.1995316,-73.5440609,4,3,2,0
20238,10.1492075,-73.9611708,4,3,2,0
20250,9.6589481,-73.7504695,4,3,2,0
20295,8.32013985,-73.71478502643384,4,3,2,0
20310,8.39523625,-73.37369796604557,4,3,0,0
20383,8.6182682,-73.8013876,4,3,2,0
20443,10.3653333,-72.9976389,4,3,2,0
20517,8.9589902,-73.6216938,4,3,2,0
20550,8.6857187,-73.6690054,4,3,2,0
20570,10.4119057,-73.5909603,4,3,2,0
20621,10.3866045,-73.1710014,4,3,2,0
20710,7.7611095,-73.3932831,0,0,0,0
20750,10.3326328,-73.1796691,4,3,2,0
20770,8.0019296,-73.5121466,0,0,0,0
20787,8.8568265,-73.8157539,4,3,2,0
23001,8.6046053,-75.97832027208273,4,3,2,0
23068,8.3116711,-75.1445022,4,3,2,0
23079,8.19029515,-75.45194933214269,4,3,2,0
23090,8.7128498,-76.25202529573784,4,3,2,0
23162,8.8852282,-75.7922421,4,3,2,0
23168,9.1496167,-75.629046,4,3,2,0
23182,9.1063553,-75.3989007,4,3,2,0
23300,9.0400712,-75.7863907,4,3,2,0
23417,9.2394583,-75.8139786,4,3,2,0
23419,8.8922529,-76.3549184,4,3,2,0
23464,9.2377862,-75.6763936,4,3,2,0
23500,9.2460394,-76.1315965,4,3,2,0
23555,8.305347300000001,-75.60640823617896,4,3,2,0
23570,8.4625524,-75.40046403716812,4,3,2,0
23574,9.0142629,-76.2625983,4,3,2,0
23586,9.29077845,-75.7401407,4,3,2,0
23660,8.79743105,-75.45217724273058,4,3,2,0
23670,9.1457678,-75.5090819,4,3,2,0
23672,9.373016,-75.7595056,4,3,2,0
23686,8.9920713,-75.90462715586233,4,3,2,0
23807,8.171791,-76.0601328,4,3,1,0
23815,9.1865401,-75.5551384,4,3,2,0
23855,8.1995857,-76.20309098658663,4,3,1,0
25035,4.549019,-74.5356507,3,1,5,0
25053,4.2723465,-74.4145486,3,2,5,0
25086,4.469191,-74.2288529,3,2,5,0
25095,4.8720675,-74.5392117,3,1,5,0
25099,4.68792135,-74.32500216127059,3,1,5,0
25120,3.9852044,-74.4843363,3,2,5,0
25123,4.728267649999999,-74.46097767305267,3,1,5,0
25126,4.9172215,-74.0255474,3,1,5,0
25148,5.3461338,-74.4916464,3,1,0,0
25151,4.4057096,-73.9459215,3,2,5,0
25168,4.9496796,-74.5947984,3,1,5,0
25178,4.4070793,-74.0697039,3,2,5,0
25181,4.5822005,-73.9137287,3,1,5,0
25183,5.1459409,-73.6839512,3,1,0,0
25200,5.10852035,-73.9599328011159,3,1,5,0
25214,4.8093624,-74.1015739,3,1,5,0
25224,5.2476767,-73.7646029,3,1,0,0
25245,4.5802618,-74.442374,3,1,5,0
25260,4.884139,-74.23629913943603,3,1,5,0
25279,4.4871667,-73.8933937,3,1,5,0
25281,4.3388252,-73.9384985,3,2,5,0
25286,4.7163036,-74.2122206,3,1,5,0
25288,5.4083822,-73.77339414321521,3,1,0,0
25293,4.6642049,-73.49116054386022,3,1,0,0
25295,4.9920291,-73.8721107,3,1,5,0
25297,4.8703697,-73.62001428324348,3,1,0,0
25307,4.8034052,-74.3524649,3,1,5,0
25312,4.5195,-74.3515928,3,1,5,0
25317,5.3858889,-73.6910556,3,1,0,0
25320,5.0674669,-74.5950774,3,1,5,0
25322,4.8664391,-73.8776944,3,1,5,0
25324,4.5181995,-74.7899996,3,2,5,0
25326,4.9043435,-73.77995046211434,3,1,5,0
25335,4.2163422,-73.8153965,3,2,5,0
25339,4.1661933,-74.0276385,3,2,5,0
25368,4.5623901,-74.6942067,3,1,5,0
25372,4.7901837,-73.6631717,3,1,0,0
25377,4.7068245,-73.93208461102986,3,1,5,0
25386,4.6480047,-74.48917797514275,3,1,5,0
25394,5.3606208,-74.3905123,3,1,0,0
25398,5.1976554,-74.3941494,3,1,5,0
25402,4.9784445,-74.34892912508252,3,1,5,0
25407,5.298544,-73.7105102,3,1,0,0
25426,5.0833333,-73.65,3,1,0,0
25430,4.7333686,-74.2629794,3,1,5,0
25436,5.0086703,-73.5412332,3,1,0,0
25438,4.510562,-73.3507441,3,1,5,0
25473,4.7002001,-74.2385058,3,1,5,0
25483,4.3981229,-74.8279301,3,2,5,0
25486,5.09723315,-73.87473408103918,3,1,5,0
25488,4.3065906,-74.6197608,3,2,5,0
25489,5.125392,-74.3853502,3,1,5,0
25491,5.0697674,-74.3775222,3,1,5,0
25506,4.0889462,-74.4784456,3,2,5,0
25513,5.1301473,-74.1583128,3,1,5,0
25518,5.3708048,-74.1528181,3,1,0,0
25524,4.192251,-74.4860101,3,2,5,0
25530,4.3765197,-73.2125493,3,1,5,0
25535,4.29722035,-74.27788845286062,3,2,5,0
25572,5.4648005,-74.6550167,3,4,5,0
25580,4.6809255,-74.7135542,3,1,5,0
25592,5.117231,-74.4793643,3,1,5,0
25594,4.2979417,-73.8723889,3,2,5,0
25596,4.7454432,-74.53378,3,1,5,0
25599,4.520545,-74.5938265,3,2,5,0
25612,4.2777357,-74.7718165,3,2,5,0
25649,4.1785583,-74.4211091,3,2,5,0
25653,4.77642895,-73.93921373466685,3,1,5,0
25658,4.953252,-74.26457303919443,3,1,5,0
25736,5.0446176,-73.7963901,3,1,5,0
25740,4.46600575,-74.26272399106114,3,2,5,0
25743,4.4034202,-74.387702,3,2,5,0
25745,5.5113056,-73.8636944,3,1,0,0
25754,4.5821413,-74.2197178,3,1,5,0
25769,4.9659026,-74.16685812388023,3,1,5,0
25772,5.1033413,-73.7990059,3,1,5,0
25777,5.0596944,-74.2391667,3,1,5,0
25779,5.4624444,-73.8015556,3,1,0,0
25781,5.23773375,-73.8549403620673,3,1,0,0
25785,4.7666667,-73.9333333,3,1,5,0
25793,5.1949264500000005,-73.95630757362419,3,1,5,0
25797,4.646580200000001,-74.40078036307561,3,1,5,0
25799,4.827453650000001,-74.15298508858267,3,1,5,0
25805,4.3480556,-74.4544722,3,2,5,0
25807,5.1,-73.5333333,3,1,0,0
25815,4.4579274,-74.6342234,3,2,5,0
25817,4.9666667,-73.9166667,3,1,5,0
25823,5.3353896,-74.3026812,3,1,0,0
25839,4.745638,-73.5329786,3,1,0,0
25841,4.501443,-73.9710295,3,1,5,0
25845,4.2982261,-74.0778924,3,2,5,0
25851,5.1879202,-74.4814775,3,1,5,0
25867,4.87426,-74.5624055,3,1,5,0
25871,5.2731679,-74.1951778,3,1,0,0
25873,5.2215207,-73.58989,3,1,0,0
25875,5.0112575,-74.4702304,3,1,5,0
25878,4.4388882,-74.5233576,3,2,5,0
25898,4.7527665,-74.37956884963012,3,1,5,0
27001,5.6923407,-76.6583801,2,4,1,0
27025,5.66597705,-77.07963299910071,2,4,1,0
27050,6.10046955,-76.73104071357858,2,4,1,0
27073,5.51161755,-76.19736199624307,2,4,1,0
27075,6.2245644,-77.4034389,2,4,1,0
27077,5.00181755,-77.15804531320393,2,5,1,0
27099,6.4417196,-77.05457212780672,2,4,1,0
27160,5.3719043,-76.6085751,2,4,1,0
27205,5.09567995,-76.51148371740939,2,4,1,0
27372,7.1031695,-77.7623252,2,4,1,-1
27413,5.5844842,-76.37256485604007,2,4,1,0
27425,6.011108549999999,-76.69106336626541,2,4,1,0
27430,5.14914535,-76.98575817260554,2,4,1,0
27450,4.81262305,-76.83608432189774,2,5,1,0
27491,4.84297795,-76.64453348254622,2,5,1,0
27495,5.75157385,-77.2153629506993,2,4,1,0
27580,5.17985665,-76.44284478933093,2,4,1,0
27600,5.5515206,-76.79313608679024,2,4,1,0
27615,7.4365576,-77.1122594,2,4,1,0
27745,4.5649239,-76.52090577847483,2,5,1,0
27800,8.0412373,-77.0933751,2,3,1,0
41001,2.9257038,-75.2893937,1,5,3,0
41006,1.8070452,-75.888501,1,5,3,0
41013,2.2632959,-75.71500368269609,1,5,3,0
41016,3.2223559,-75.239962,3,5,5,0
41020,2.5046806000000004,-75.30394808020054,1,5,3,0
41026,2.0823259,-75.775479410223,1,5,3,0
41078,3.0892735,-74.94483496007308,3,5,5,0
41132,2.6851032,-75.3263227,1,5,3,0
41206,3.42610515,-74.7007224339793,3,2,5,0
41244,2.0136193,-75.9392336,1,5,3,0
41298,2.1960126,-75.6274845,1,5,3,0
41306,2.3948453,-75.52692389190892,1,5,3,0
41319,2.0248785,-75.7564049,1,5,3,0
41349,2.5654554000000003,-75.44577481740046,1,5,3,0
41357,2.6499277,-75.6352082,1,5,3,0
41359,2.06774625,-76.32055767602571,1,5,3,0
41378,2.18606185,-76.01276506104725,1,5,3,0
41396,2.3894154,-75.8926236,1,5,3,0
41483,2.5769586,-75.7951200743144,1,5,3,0
41503,2.0235756,-75.995126,1,5,3,0
41518,2.4487125,-75.7747485,1,5,3,0
41524,2.8896962,-75.4346589,1,5,3,0
41530,1.7229505,-76.1311882,1,5,3,0
41548,2.25746925,-75.8339699166117,1,5,3,0
41551,1.8171632,-76.10213621847218,1,5,3,0
41615,2.7776396,-75.2572183,1,5,3,0
41660,1.993142,-76.0450355,1,5,3,0
41676,2.9374927,-75.5867503,1,5,3,0
41770,1.9772874,-75.7946272,1,5,3,0
41791,2.12777655,-75.86771559734223,1,5,3,0
41797,2.4855806,-75.7273303,1,5,3,0
41799,3.067211,-75.1392845,3,5,5,0
41801,2.7416333,-75.5683448,1,5,3,0
41807,1.95016885,-75.92657973750607,1,5,3,0
41872,3.2195402,-75.2190257,3,5,5,0
41885,2.6628774,-75.516008,1,5,3,0
44001,11.5352153,-72.9119566,4,3,2,0
44035,11.2448034,-72.51609706675976,4,3,2,0
44078,10.9782843,-72.6961176191123,4,3,2,0
44090,11.2716722,-73.3078999,4,3,2,0
44098,10.9118556,-72.9451253818429,4,3,2,0
44110,10.6284107,-72.87309324366868,4,3,2,0
44279,10.7773005,-72.7985609,4,3,2,0
44378,11.0675576,-72.7600808,4,3,2,0
44430,11.4048743,-72.31316022980582,4,3,2,0
