Divipola,capacidad,costo,x_ij
25612,2418.0,4804980.75,0.0
25718,2418.0,4804980.75,0.0
25736,2418.0,4804980.75,0.0
25740,2418.0,4804980.75,0.0
25743,2418.0,4804980.75,0.0
25745,2418.0,4804980.75,0.0
25754,2418.0,4804980.75,1.0
25758,2418.0,4804980.75,0.0
25769,2418.0,4804980.75,0.0
25772,2418.0,4804980.75,0.0
25781,2418.0,4804980.75,0.0
25785,2418.0,4804980.75,0.0
25793,2418.0,4804980.75,0.0
25799,2418.0,4804980.75,0.0
25817,2418.0,4804980.75,0.0
25839,2418.0,4804980.75,0.0
25841,2418.0,4804980.75,0.0
25843,2418.0,4804980.75,0.0
25845,2418.0,4804980.75,0.0
25873,2418.0,4804980.75,0.0
25875,2418.0,4804980.75,0.0
25899,2418.0,4804980.75,1.0
27001,2418.0,4804980.75,1.0
27205,2418.0,4804980.75,0.0
27245,2418.0,4804980.75,0.0
27361,2418.0,4804980.75,0.0
41001,2418.0,4804980.75,2.0
41016,2418.0,4804980.75,0.0
41132,2418.0,4804980.75,0.0
41298,2418.0,4804980.75,0.0
41306,2418.0,4804980.75,0.0
41396,2418.0,4804980.75,0.0
41518,2418.0,4804980.75,0.0
41524,2418.0,4804980.75,0.0
41551,2418.0,4804980.75,1.0
41615,2418.0,4804980.75,0.0
41668,2418.0,4804980.75,0.0
41797,2418.0,4804980.75,0.0
41799,2418.0,4804980.75,0.0
41872,2418.0,4804980.75,0.0
44001,2418.0,4804980.75,1.0
44035,2418.0,4804980.75,0.0
44090,2418.0,4804980.75,0.0
44279,2418.0,4804980.75,0.0
44378,2418.0,4804980.75,0.0
44430,2418.0,4804980.75,1.0
44650,2418.0,4804980.75,0.0
44847,2418.0,4804980.75,1.0
47001,2418.0,4804980.75,2.0
47053,2418.0,4804980.75,0.0
47058,2418.0,4804980.75,0.0
47189,2418.0,4804980.75,1.0
47245,2418.0,4804980.75,0.0
47268,2418.0,4804980.75,0.0
47288,2418.0,4804980.75,0.0
47318,2418.0,4804980.75,0.0
47551,2418.0,4804980.75,0.0
47555,2418.0,4804980.75,0.0
47745,2418.0,4804980.75,0.0
47980,2418.0,4804980.75,0.0
50001,2418.0,4804980.75,2.0
50006,2418.0,4804980.75,0.0
5001,2418.0,4804980.75,10.0
5002,2418.0,4804980.75,0.0
50110,2418.0,4804980.75,0.0
50124,2418.0,4804980.75,0.0
50150,2418.0,4804980.75,0.0
50226,2418.0,4804980.75,0.0
5030,2418.0,4804980.75,0.0
5031,2418.0,4804980.75,0.0
50313,2418.0,4804980.75,0.0
50318,2418.0,4804980.75,0.0
5034,2418.0,4804980.75,0.0
5042,2418.0,4804980.75,0.0
5045,2418.0,4804980.75,1.0
5051,2418.0,4804980.75,0.0
50568,2418.0,4804980.75,0.0
50573,2418.0,4804980.75,0.0
50606,2418.0,4804980.75,0.0
50680,2418.0,4804980.75,0.0
50689,2418.0,4804980.75,0.0
5079,2418.0,4804980.75,0.0
5088,2418.0,4804980.75,2.0
5101,2418.0,4804980.75,0.0
5113,2418.0,4804980.75,0.0
5129,2418.0,4804980.75,0.0
5138,2418.0,4804980.75,0.0
5147,2418.0,4804980.75,0.0
5148,2418.0,4804980.75,0.0
5154,2418.0,4804980.75,0.0
5172,2418.0,4804980.75,0.0
5190,2418.0,4804980.75,0.0
52001,2418.0,4804980.75,1.0
52079,2418.0,4804980.75,0.0
5209,2418.0,4804980.75,0.0
5212,2418.0,4804980.75,0.0
52317,2418.0,4804980.75,0.0
5234,2418.0,4804980.75,0.0
52356,2418.0,4804980.75,1.0
5237,2418.0,4804980.75,0.0
52399,2418.0,4804980.75,0.0
5250,2418.0,4804980.75,0.0
5264,2418.0,4804980.75,0.0
5266,2418.0,4804980.75,1.0
52678,2418.0,4804980.75,0.0
5282,2418.0,4804980.75,0.0
52835,2418.0,4804980.75,1.0
52838,2418.0,4804980.75,0.0
5284,2418.0,4804980.75,0.0
5306,2418.0,4804980.75,0.0
5308,2418.0,4804980.75,0.0
5310,2418.0,4804980.75,0.0
5318,2418.0,4804980.75,0.0
5321,2418.0,4804980.75,0.0
5353,2418.0,4804980.75,0.0
5360,2418.0,4804980.75,1.0
5361,2418.0,4804980.75,0.0
5376,2418.0,4804980.75,0.0
5380,2418.0,4804980.75,0.0
5390,2418.0,4804980.75,0.0
5400,2418.0,4804980.75,0.0
54001,2418.0,4804980.75,3.0
54003,2418.0,4804980.75,0.0
54099,2418.0,4804980.75,0.0
54172,2418.0,4804980.75,0.0
5425,2418.0,4804980.75,0.0
54261,2418.0,4804980.75,0.0
5440,2418.0,4804980.75,0.0
54405,2418.0,4804980.75,0.0
54498,2418.0,4804980.75,1.0
54518,2418.0,4804980.75,0.0
54520,2418.0,4804980.75,0.0
54673,2418.0,4804980.75,0.0
54720,2418.0,4804980.75,0.0
5480,2418.0,4804980.75,0.0
54810,2418.0,4804980.75,0.0
54874,2418.0,4804980.75,0.0
5490,2418.0,4804980.75,0.0
5579,2418.0,4804980.75,0.0
5585,2418.0,4804980.75,0.0
5591,2418.0,4804980.75,0.0
5607,2418.0,4804980.75,0.0
5615,2418.0,4804980.75,1.0
5631,2418.0,4804980.75,0.0
5656,2418.0,4804980.75,0.0
5664,2418.0,4804980.75,0.0
5665,2418.0,4804980.75,0.0
5686,2418.0,4804980.75,0.0
5697,2418.0,4804980.75,0.0
5736,2418.0,4804980.75,0.0
5756,2418.0,4804980.75,0.0
5761,2418.0,4804980.75,0.0
5809,2418.0,4804980.75,0.0
5837,2418.0,4804980.75,1.0
5842,2418.0,4804980.75,0.0
5847,2418.0,4804980.75,0.0
5861,2418.0,4804980.75,0.0
